Name,Employer,From,Experience,Keys
Юрист,Парадигма,40000.0,От 1 года до 3 лет,"['внимательность', 'Коммуникабельность', 'Активные продажи', 'Пользователь ПК', 'Консультирование', 'Телефонные переговоры']"
BIM-моделлер/BIM-проектировщик,МосИнжПроект,,От 1 года до 3 лет,"['Autodesk Revit', 'MS Access', 'Pascal', 'Моделирование', 'Revit']"
Системный аналитик,CSSSR,100000.0,От 1 года до 3 лет,"['Системный анализ', 'Бизнес-анализ', 'SQL', 'Системная интеграция', 'Информационные технологии', 'Статистический анализ', 'Аналитические исследования', 'Стратегическое планирование', 'Разработка технических заданий', 'SOAP', 'REST', 'API']"
Project Manager Gamedev,Red Pill Studio,,От 3 до 6 лет,"['Работа в команде', 'Atlassian Jira', 'Тестирование', 'Unity', 'Gamedev']"
Аналитик рекламных кампаний,Триколор,,От 1 года до 3 лет,"['Медиапланирование', 'Планирование рекламных кампаний', 'Реклама', 'Наружная реклама', 'Анализ данных', 'Mediascope']"
Интернет-маркетолог,Evercode Lab,87000.0,От 1 года до 3 лет,"['Английский язык', 'Маркетинговый анализ', 'Internet Marketing']"
Менеджер по продажам / Продавец-консультант (м. пл. А. Невского),Ростелеком - Розничные Системы,39150.0,Нет опыта,[]
Cloud Gaming Platform Senior Software Engineer,HUAWEI,,Нет опыта,"['Java', 'C++', 'C/C++', 'Engineering', 'HTTP', 'C#']"
Customer Support Consultant (Estonian),SupportYourApp,,Нет опыта,"['Английский язык', 'Customer Service', 'Fluent English', 'Customer Support', 'Estonian']"
Сотрудник технической поддержки/помощник сисадмина,Аванти,15000.0,Нет опыта,"['Linux', 'Mac Os', 'Деловое общение', 'Работа с клиентами', 'Windows Vista']"
Специалист по защите информации,Научно-Технический Центр Нептунит,40000.0,Нет опыта,"['Windows 7', 'Windows Os', 'Продвинутый пользователь ПК', 'УЦ VipNet', 'NAT']"
Frontend-разработчик на Angular (middle),Liniax Inc,110000.0,От 1 года до 3 лет,"['JavaScript', 'Git', 'TypeScript', 'Angular', 'HTML5']"
QA Engineer (Android),ATI.SU,100000.0,От 1 года до 3 лет,"['Android', 'Работа в команде', 'Тестирование пользовательского интерфейса', 'Функциональное тестирование']"
"Оператор call-центра, Оперативный дежурный, оператор ПЦН, диспетчер",ПиБиЭс,,Нет опыта,"['Пользователь ПК', 'Электронный документооборот', 'Грамотная речь', 'Электронная почта', 'входящие звонки', 'Консультирование клиентов по телефону', 'Техническая поддержка', 'Психологическая устойчивость', 'Деловое общение', 'Телефонные переговоры']"
Оператор фрезерного ЧПУ станка,Инмет,47850.0,От 1 года до 3 лет,[]
Программист по Teamcenter,"Силовые машины, Управляющая компания",,От 3 до 6 лет,"['Java', 'C++']"
Графический дизайнер,Big Data Technologies,,От 1 года до 3 лет,"['Figma', 'Adobe Illustrator', 'Adobe Photoshop', 'Графический дизайн', 'Web-дизайн']"
ML/RL Engineer,Wargaming,,Более 6 лет,[]
Junior Developer (intern),GET Information Technology,,Нет опыта,[]
Integration Engineer,Wargaming,,От 3 до 6 лет,"['Integration', 'Integrator', 'Boomi', 'Dell Boomi AtomSphere', 'ODATA', 'SOAP API']"
Директор по маркетингу,Custom-Recruitment,100000.0,От 3 до 6 лет,"['Маркетинговые исследования', 'Маркетинговые коммуникации', 'Планирование маркетинговых кампаний', 'Продвижение бренда']"
Верстальщик,ОРИМИ ТРЭЙД,,Нет опыта,"['Adobe InDesign', 'Adobe Illustrator', 'Adobe Photoshop', 'Верстка', 'MS PowerPoint']"
Руководитель отдела аналитики (SuperAppKit),VK,,От 3 до 6 лет,[]
Senior Python Developer (DS),Welltory,,От 3 до 6 лет,"['Python', 'HTTP', 'REST API', 'Оптимизация кода']"
Системный администратор-инженер поддержки,Ай Ти без проблем,70000.0,От 3 до 6 лет,[]
Senior Full Stack Engineer,Cytiva,,От 3 до 6 лет,"['Java', 'Spring Framework', 'JavaScript', 'English', 'TypeScript', 'Angular', 'Git', 'MVC', 'IOC']"
Middle Backend Developer (PHP),Центр образовательных технологий Advance,140000.0,От 3 до 6 лет,"['PHP', 'PostgreSQL']"
Системный администратор,Мастер-ИТ,70000.0,От 1 года до 3 лет,"['Active Directory', 'DHCP', 'Администрирование серверов Windows', 'Администрирование сетевого оборудования', 'Настройка DNS', 'Администрирование серверов', 'Windows Server 2008 R2', 'Техническая поддержка', 'Hyper-V', 'Настройка ПК', 'TCP/IP', 'Windows Server 2003', 'Поддержка пользователей', 'Настройка серверов', 'Linux', 'Администрирование серверов Linux', 'Информационные технологии', 'Администрирование', 'VPN', 'Настройка сетевого оборудования', 'AD', 'GPO', 'RDP', 'MS SQL', 'Администрирование Windows', 'Системный администратор', 'Сетевое оборудование', 'Настройка VPS/VDS серверов']"
QA Automation Engineer,Deutsche Bank Technology Center,,От 3 до 6 лет,[]
Full Stack developer (Node.js/React),Zion Development,250000.0,От 3 до 6 лет,"['Node.js', 'Git', 'TypeScript', 'React', 'Redux']"
Backend Developer (Node.js),Zion Development,,От 1 года до 3 лет,"['Linux', 'MySQL', 'Node.js', 'NoSQL']"
Project manager,Visualteam,,Нет опыта,"['Управление проектами', 'Управление интернет-проектами']"
Главный специалист по реализации проектов,Газпром нефть,,От 3 до 6 лет,"['Управление проектами', 'MS Project', 'Информационные технологии', 'Планирование', 'Составление отчетности']"
Менеджер по работе с партнерами,Appbooster,70000.0,От 1 года до 3 лет,"['B2B Продажи', 'Проведение презентаций', 'Английский язык', 'Навыки презентации', 'Ведение переговоров']"
Junior Java Backend Developer / Младший разработчик на Java,Nord.Codes,50000.0,Нет опыта,"['Java', 'Spring Framework', 'SQL', 'MySQL', 'REST', 'JSON API', 'Git', 'Apache Maven', 'JDBC', 'Linux']"
Senior Java Developer for Big Data product,WANdisco,,Более 6 лет,['Java']
"Системный администратор (IT, техническая поддержка)",ГЕО-ПРОЕКТ,,От 3 до 6 лет,"['Настройка ПО', 'Настройка сетевых подключений', 'Настройка ПК', 'Администрирование сетевого оборудования', 'Linux', 'SQL', 'Windows', 'СУБД', 'Техническая поддержка', 'Системный администратор']"
3D Animator / 3D аниматор,Wargaming St. Petersburg (Lesta Studio),,От 1 года до 3 лет,[]
Data Scientist,Самокат (ООО Умное пространство),,От 1 года до 3 лет,"['Python', 'SQL', 'Machine Learning']"
QA Engineer (middle\senior),Appbooster,80000.0,От 1 года до 3 лет,"['Функциональное тестирование', 'Atlassian Jira', 'iOS', 'Android']"
Senior ROR-инженер,Buyk,,От 3 до 6 лет,"['Ruby On Rails', 'PostgreSQL', 'SQL', 'GraphQL', 'RSpec', 'Docker', 'Git', 'Amazon AWS']"
ROR-инженер,Buyk,,От 3 до 6 лет,"['Ruby On Rails', 'PostgreSQL', 'SQL', 'GraphQL', 'RSpec', 'Docker', 'Git', 'Amazon AWS']"
Magento Developer,Nitka Technologies,,От 3 до 6 лет,"['Git', 'PHP', 'Linux', 'Английский язык', 'MySQL', 'Magento', 'PostgreSQL']"
Middle QA Engineer,Lenvendo,100000.0,От 1 года до 3 лет,"['Git', 'Atlassian Jira', 'SQL', 'Atlassian Confluence', 'API', 'Postman', 'DevTools', 'Rabbit MQ']"
Team Lead Go,Karuna,,От 3 до 6 лет,"['ООП', 'Git', 'go']"
Системный аналитик,"Иннотех, Группа компаний",,От 3 до 6 лет,"['SQL', 'BPMN', 'XML', 'UML', 'СУБД', 'Xsd', 'JSON', 'SOAP', 'REST', 'SOAP UI', 'Postman']"
Младший технический писатель (JavaScript),Developer Soft,60900.0,Нет опыта,"['JavaScript', 'HTML', 'CSS', 'Английский язык']"
Старший Frontend-разработчик ReactJS / ReactNative,Проект,,От 3 до 6 лет,"['Teamleading', 'React.js', 'TypeScript', 'SSR', 'ES6', 'Sass', 'ReactNative', 'Android SDK', 'iOS UIKit', 'CI/CD', 'Scrum', 'Разработка нового продукта', 'Agile Project Management']"
Инженер-конструктор,АТБ Электроника,,От 3 до 6 лет,"['AutoCAD', 'ЕСКД', 'Разработка проектной документации', 'Solid Works', 'САПР', '3D Моделирование']"
Программист,СЭТ-Продакшн,110000.0,От 1 года до 3 лет,"['Git', 'Linux', 'MySQL', 'HTML', 'JavaScript']"
QA Engineer,СИГМА,,От 1 года до 3 лет,"['Atlassian Jira', 'Atlassian Confluence', 'SQL', 'Тестирование пользовательского интерфейса']"
Специалист по работе с мастер-данными SAP,Фацер,,От 1 года до 3 лет,[]
Senior Java Developer with possible relocation to Prague,Veeam Software,,От 3 до 6 лет,"['Java', 'Английский язык', 'Java EE', 'core java']"
Системный администратор/IT-специалист,Филиал «ДиПОС Санкт-Петербург» ООО ПКФ «ДиПОС»,50000.0,От 3 до 6 лет,"['Администрирование серверов Windows', 'Active Directory', 'Администрирование сетевого оборудования', 'Системы видеонаблюдения', 'Cisco', 'Linux', 'Организация рабочих мест', 'Работа с оргтехникой', 'Cистемы управления базами данных', 'Видеонаблюдение', 'Телефония', 'Office', 'Закупка оргтехники и оборудования', 'Мини-АТС', 'СКУД', 'VLAN', 'Настройка DNS', 'Zabbix', 'Mikrotik', 'PowerShell', 'VMware']"
Ведущий программист Embedded систем,"САТЕЛ, Группа компаний",,От 3 до 6 лет,"['Linux', 'TCP/IP', 'C/C++', 'OSI', 'SVN', 'Yocto', 'Buldroot']"
Монтажник ВОЛС,"NEWLINK, провайдер интернета",75000.0,От 1 года до 3 лет,"['инженер ВОЛС', 'сварщик оптики', 'монтажник оптики', 'пайщик']"
Middle Manual QA Engineer,Space307,120000.0,От 3 до 6 лет,"['Atlassian Jira', 'Функциональное тестирование', 'Atlassian Confluence', 'HTML', 'Тестирование']"
Senior Frontend developer (Vue.js),Эквид,250000.0,От 3 до 6 лет,"['TypeScript', 'JavaScript', 'Git', 'Vue.js', 'HTML5']"
Senior Backend Developer (Ruby),Servers.com,,От 3 до 6 лет,"['Ruby', 'Go']"
Инженер технической поддержки (см) (Выборгское ш),"Лента, федеральная розничная сеть",,От 1 года до 3 лет,[]
Android Developer (Kotlin),Electrolux,,От 3 до 6 лет,"['Java', 'Android', 'REST', 'Atlassian Jira', 'MVP', 'AWS', 'JSON API', 'Android Studio', 'Android SDK', 'Google Playstore', 'Java 8 and RX Java', 'Retrofit is a plus', 'REST APIs', 'Dagger 2', 'Design Patterns', 'Английский язык', 'MVP, Singleton, Factory', 'Kotlin', 'KMM']"
Ведущий инженер,НПО «Импульс»,60000.0,Нет опыта,"['Опытный пользователь ПК', 'способность к обученю']"
Разработчик CRM,Softline,,От 3 до 6 лет,"['C#', 'MS Dynamics CRM', 'HTML', 'JavaScript', 'MS SQL', 'Design Patterns']"
Специалист по ведению базы данных,"Лента, федеральная розничная сеть",,От 1 года до 3 лет,[]
Компьютерный мастер,Омега,65000.0,Нет опыта,"['Ремонт ПК', 'Настройка ПК', 'Сборка ПК', 'Настройка ПО', 'Пользователь ПК', 'Работа с оргтехникой', 'Работа в команде', 'Выездное обслуживание']"
Инженер по медицинскому оборудованию,Медицинские системы и технологии,90000.0,От 1 года до 3 лет,"['Гарантийное обслуживание', 'Медицинское оборудование', 'Сервисный инженер', 'Монтаж оборудования', 'Командировки']"
Руководитель службы технологий,Агентство судебного взыскания,100000.0,От 1 года до 3 лет,"['Английский язык', 'Оптимизация бизнес-процессов', 'Разработка инструкций', 'CRM', 'Ориентация на результат']"
Руководитель проекта,"РАЗМАХ, Группа компаний",,Нет опыта,"['Ведение переговоров', 'Заключение договоров', 'Деловое общение', 'Документальное сопровождение', 'Многозадачность']"
Junior DevOps Engineer,Скибина Алена Сергеевна,35000.0,Нет опыта,"['Удаленная работа', 'Желание учиться', 'Memcached', 'Wordpress', 'Python', 'Bash']"
Web backend/Ruby разработчик,Mercury Development,,От 1 года до 3 лет,"['PostgreSQL', 'MongoDB', 'Английский язык', 'SQL', 'ООП', 'Ruby', 'JavaScript']"
"Оператор на телефоне(удалённо, работа из дома)",Ozon,27840.0,Нет опыта,[]
"Специалист по обслуживанию клиентов(удалённо, работа из дома)",Ozon,27840.0,Нет опыта,[]
Frontend developer на React.js (удаленно),A-hiring,,От 1 года до 3 лет,"['JavaScript', 'Git', 'React', 'Redux', 'TypeScript', 'mobx']"
Python Developer (middle),A-hiring,,От 1 года до 3 лет,"['Git', 'Python', 'Django', 'Web разработка', 'Микросервисы']"
Разработчик банковского ПО (АБС ЦФТ),Банк Оранжевый,,От 3 до 6 лет,[]
UX/UI дизайнер,Space307,,От 3 до 6 лет,[]
UX / UI дизайнер,Space307,,От 3 до 6 лет,"['UX/UI', 'Product design']"
Senior Software Developer (Toolbox Enterprise),JetBrains,280000.0,От 3 до 6 лет,[]
FX Artist,Ласт Левел,,От 3 до 6 лет,[]
Системный администратор,ПО Возрождение Филиал Северо-Запад,,От 1 года до 3 лет,"['Active Directory', 'DHCP', 'Администрирование серверов Windows', 'Техническая поддержка', 'Windows Server 2003', 'DNS', 'Администрирование сетевого оборудования', 'Настройка сетевых подключений', 'Настройка ПК']"
"Разработчик Go, Логистика / Адресация",Ozon,,От 1 года до 3 лет,"['Golang', 'Linux', 'Docker', 'Scrum', 'IT', 'разработка логистики']"
Программист Java Spring,ИТигрис,,От 1 года до 3 лет,"['Spring Framework', 'Git', 'Apache Maven', 'Hibernate ORM', 'Java']"
Senior IT Project Manager,Агентство судебного взыскания,80000.0,От 1 года до 3 лет,"['Управление проектами', 'MS Project', 'Оптимизация бизнес-процессов', 'Project management', 'Проектный менеджмент']"
SAS Программист,PSI Co Ltd.,,Нет опыта,[]
Ведущий инженер (IT),СИГМА,,От 1 года до 3 лет,"['MS SQL', 'MS SQL Server', 'Azure', 'Базы данных', 'Hyper-V', 'Microsoft Windows']"
Программист 1С,Комплектэнергоучет,150000.0,От 3 до 6 лет,[]
Team Lead (E-commerce),BARONA,,От 3 до 6 лет,"['Английский язык', 'PostgreSQL', 'Python', 'ERP', 'MS Dynamics NAV']"
Rigger / Риггер,Cтудия Dragon-Fly,110432.0,От 1 года до 3 лет,"['Autodesk Maya', '3D Rigging', 'Skinning', 'Facial Rig', 'Unreal Engine 4']"
Senior Angular Frontend developer,BARONA,,От 3 до 6 лет,"['Angular', 'TypeScript', 'Git', 'Английский язык', 'CSS']"
Разработчик С#,BARONA,,От 1 года до 3 лет,"['СУБД', 'C#', 'ООП', 'MSSQL', 'ORACLE', 'PostgreSQL', 'TDD', 'API', 'CRM', 'Git', 'SVN', 'REST']"
Монтажник РЭАиП,НПП Марс-Энерго,30000.0,От 3 до 6 лет,"['Знание номенклатуры электронных компонентов', 'Навыки сборки РЭА и приборов', 'Знание правил техники безопасности']"
"Разработчик Go (Логистика, Платформа TMS)",Ozon,,От 1 года до 3 лет,"['IT', 'Go', 'SQL', 'разработка логистики']"
Программист C/С++,Algos Capital,,Нет опыта,"['Биржевые торги', 'Адекватность', 'Работа в условиях многозадачности', 'C++', 'C#', 'Python', 'Удаленная работа']"
Инженер,Business FM Санкт-Петербург,,Более 6 лет,"['Техническое обслуживание', 'Ремонтные работы', 'Опытный пользовать ПК, знание MS Office', 'Техническая эксплуатация', 'Контроль исправности оборудования', 'Навыки составления отчетности', 'Радиорелейное оборудование', 'Высокая степень ответственности', 'Ответственность и пунктуальность']"
Middle Java developer (remote),DIS Group,,От 1 года до 3 лет,"['PostgreSQL', 'Java', 'SQL', 'MS SQL', 'REST']"
Разработчик ETL,DIS Group,,От 1 года до 3 лет,"['SQL', 'Инструменты ETL']"
Программист С# (Developer),Algos Capital,87000.0,Нет опыта,"['Оптимизация кода', 'С (#)', 'Databases', 'Linux', 'NodeJS', 'Proxmox', 'SQL']"
Специалист технической поддержки (помощник инженера/DevOps),Majordomo,35000.0,Нет опыта,"['Linux', 'Bash', 'Настройка DNS', 'Настройка почтовых серверов', 'хостинг', 'HTTP']"
Senior Backend Developer (PHP),Центр образовательных технологий Advance,220000.0,От 3 до 6 лет,"['PHP', 'Laravel', 'PostgreSQL', 'ООП']"
PHP-разработчик,"Лента, федеральная розничная сеть",,От 1 года до 3 лет,"['Linux', 'MySQL', 'ООП', 'PostgreSQL', 'PHP', 'golang']"
Product manager,8848INVEST,120000.0,От 1 года до 3 лет,"['Английский язык', 'Customer Development', 'Аналитическое мышление', 'UX', 'Немецкий язык', 'PSPO']"
Head of Digital Marketing / Директор по Digital-маркетингу,MIP,200000.0,От 3 до 6 лет,"['Управление командой', 'Анализ бизнес показателей', 'Маркетинговые коммуникации', 'Планирование маркетинговых кампаний', 'Digital Marketing', 'Internet Marketing']"
Системный администратор с навыками поддержки 1С,БИОКОЛ,78300.0,От 3 до 6 лет,"['1С программирование', '1С: Бухгалтерия', '1С: Предприятие 8', '1С: Зарплата и управление персоналом', '1С: Торговля']"
Оператор клиентской службы,Кухни Мария (ООО Мария),40000.0,От 1 года до 3 лет,"['Работа с претензиями', 'Работа с жалобами клиентов', 'Грамотная речь', 'Работа в команде', 'Работа с большим объемом информации', 'Претензионная работа', 'Телефонные переговоры', 'CRM', 'входящие звонки', 'обработка входящей корреспонденции']"
3D художник по персонажам (next-gen character artist),Cтудия Dragon-Fly,116928.0,От 1 года до 3 лет,[]
Инженер ОТК,НИЦ СПб ЭТУ (Научно-инженерный центр Санкт-Петербургского электротехнического университета),,От 1 года до 3 лет,[]
Системный администратор / Инженер по настройке ПК,НИЦ СПб ЭТУ (Научно-инженерный центр Санкт-Петербургского электротехнического университета),,От 3 до 6 лет,"['Windows 7', 'Монтаж оборудования', 'Linux', 'Техническое обслуживание', 'Администрирование', 'Настройка ПК', 'Системы видеонаблюдения', 'Диагностика']"
Backend разработчик (Java),НИЦ СПб ЭТУ (Научно-инженерный центр Санкт-Петербургского электротехнического университета),,От 1 года до 3 лет,[]
Ведущий тестировщик / Senior QA Engineer,НИЦ СПб ЭТУ (Научно-инженерный центр Санкт-Петербургского электротехнического университета),,От 3 до 6 лет,"['Atlassian Jira', 'Git', 'SQL', 'Linux', 'SOAP', 'Sikuli', 'Testolang', 'Тестирование', 'Разработка ПО', 'Наставничество', 'QA', 'Selenium']"
Руководитель отдела конструкторской документации,НИЦ СПб ЭТУ (Научно-инженерный центр Санкт-Петербургского электротехнического университета),,От 3 до 6 лет,"['Организаторские навыки', 'Контроль качества', 'Грамотность', 'Работа в команде', 'Планирование', 'Документальное сопровождение', 'Грамотная речь', 'Пользователь ПК', 'ЕСКД', 'ГОСТы', 'MS Office', 'MS Visio', 'Linux']"
"Front-end разработчик (JavaScript, Vue, React)",НИЦ СПб ЭТУ (Научно-инженерный центр Санкт-Петербургского электротехнического университета),,От 1 года до 3 лет,"['JavaScript', 'Git', 'Имитационное моделирование', 'ГИС', 'Cesium', 'React']"
Системный архитектор (Java),НИЦ СПб ЭТУ (Научно-инженерный центр Санкт-Петербургского электротехнического университета),,От 3 до 6 лет,[]
Системный аналитик / Бизнес-аналитик,НИЦ СПб ЭТУ (Научно-инженерный центр Санкт-Петербургского электротехнического университета),,От 3 до 6 лет,"['UML', 'Управление проектами', 'Бизнес-анализ', 'математика', 'Анализ данных', 'MATLAB', 'Разработка ПО']"
"Разработчик компьютерного зрения (С/C++, Python)",НИЦ СПб ЭТУ (Научно-инженерный центр Санкт-Петербургского электротехнического университета),,От 3 до 6 лет,"['OpenCV', 'Python', 'Computer Vision', 'Tensorflow', 'C++', 'Математическое моделирование', 'machine learning', 'нейронные сети', 'Stereo correspondence', 'structure from motion']"
Ведущий инженер (системы связи и передачи данных),НИЦ СПб ЭТУ (Научно-инженерный центр Санкт-Петербургского электротехнического университета),,От 1 года до 3 лет,"['AutoCAD', 'MS Visio', 'Linux', 'Инженерные системы', 'Проектирование', 'Администрирование сетевого оборудования']"
Разработчик (Java),НИЦ СПб ЭТУ (Научно-инженерный центр Санкт-Петербургского электротехнического университета),,От 1 года до 3 лет,"['Apache Maven', 'Linux', 'Git', 'Java', 'ООП', 'JavaScript']"
Инженер конфигураций (DevOps),НИЦ СПб ЭТУ (Научно-инженерный центр Санкт-Петербургского электротехнического университета),,От 3 до 6 лет,[]
Java-программист,НИЦ СПб ЭТУ (Научно-инженерный центр Санкт-Петербургского электротехнического университета),,От 3 до 6 лет,[]
Игровой аналитик,Zillion Whales,60900.0,От 1 года до 3 лет,[]
Старший менеджер IT-проектов,Агентство судебного взыскания,80000.0,От 1 года до 3 лет,"['Управление проектами', 'MS Project', 'Оптимизация бизнес-процессов', 'Project management', 'Проектный менеджмент']"
Node.js developer,Эрвиай Групп,160000.0,От 3 до 6 лет,"['Linux', 'Redis', 'Node.js', 'HTML', 'JavaScript', 'MQTT']"
Linux System Administrator,Wargaming,,От 1 года до 3 лет,[]
Наладчик машин и автоматических линий по производству изделий из пластмасс,Аквафор,55680.0,От 3 до 6 лет,"['Управление производством', 'Mac Os', 'Adobe Audition', 'Windows Vista']"
Оператор колл-центра клиентского сервиса / Диспетчер по приёму обращений от населения в сфере ЖКХ,Колл-центр,,От 1 года до 3 лет,"['Работа с большим объемом информации', 'Пользователь ПК', 'Грамотная речь', 'Работа в команде', 'Урегулирование конфликтов']"
Junior unity разработчик,Varwin,,Нет опыта,"['ООП', 'Unity', 'C#', 'VR']"
Senior Go Developer,Karuna,,От 1 года до 3 лет,"['ООП', 'Git', 'go']"
Middle Manual QA Test Engineer  (Integration Team),Solveva,104400.0,От 1 года до 3 лет,"['Тестирование', 'Java', 'Scrum']"
Бизнес - аналитик,Агентство судебного взыскания,100000.0,От 1 года до 3 лет,"['Английский язык', 'Оптимизация бизнес-процессов', 'Разработка инструкций', 'CRM', 'Ориентация на результат']"
Руководитель IT-подразделения,Агентство судебного взыскания,150000.0,От 1 года до 3 лет,"['Управление проектами', 'Стратегическое мышление', 'Ориентация на результат', 'Управление временем', 'Автоматизация документооборота']"
Специалист по оценке долговых портфелей,Агентство судебного взыскания,40000.0,От 1 года до 3 лет,"['Python', 'SQL', 'PostgreSQL', 'Английский язык', 'MS SQL']"
IT директор,Агентство судебного взыскания,150000.0,От 3 до 6 лет,"['Управление проектами', 'Стратегическое мышление', 'Ориентация на результат', 'Управление временем']"
Программист 1С,Малтри,,От 1 года до 3 лет,"['1С программирование', '1С: Предприятие 8', '1С: Розница', '1С: Управление Торговлей', '1С: Управление предприятием']"
Инженер-программист C# (прикладное программирование),ГАЗИНФОРМСЕРВИС,,От 1 года до 3 лет,[]
Веб-разработчик,Группа компаний АРКАН,,Нет опыта,"['jQuery', 'PHP', 'JavaScript', '1С-Битрикс', 'HTML']"
Системный администратор,Группа компаний АРКАН,,От 1 года до 3 лет,"['MS SQL Server', 'Windows Server 2003', 'MS SQL', 'СУБД', 'SQL Server', 'настройка ЛВС', 'Знание протоколов и технологий: TCP/IP']"
WPF Developer,EXQUANCE,,От 3 до 6 лет,"['C#', 'WPF', 'MVVM', 'Entity Framework ORM', 'SOLID']"
Ведущий специалист секции оценки долговых портфелей,Агентство судебного взыскания,80000.0,От 3 до 6 лет,"['Python', 'SQL', 'Pandas']"
Backend Engineer Python Developer,Myna Labs,,От 1 года до 3 лет,"['Linux', 'SQL', 'Английский язык', 'Bash', 'C++', 'Python']"
Ведущий DevOps \ SRE Engineer \ Системный администратор,СИГМА,,От 3 до 6 лет,[]
System Analyst (DWH),Playrix,,От 1 года до 3 лет,"['SQL', 'ETL', 'Анализ данных', 'DWH', 'Big Data']"
Оператор лазерного станка CO2,Сувенир,45000.0,От 1 года до 3 лет,"['CorelDRAW', 'Способность обучать других', 'Станки ЧПУ', 'Организационные навыки', 'Закупка рекламных материалов']"
Продавец,Билайн,43500.0,Нет опыта,[]
Специалист пункта выдачи заказов,Ozon,,Нет опыта,"['Работа с клиентами', 'Работа с кассовым аппаратом', 'Клиентоориентированность', 'Выдача заказов клиентам', 'Инкассация', 'Инвентаризация']"
Web дизайнер (middle/senior),Вайт Код,100000.0,От 3 до 6 лет,"['Adobe Photoshop', 'Adobe Illustrator', 'Adobe InDesign', 'Figma', 'UX/UI', 'Английский - B2- Средне-продвинутый']"
ИТ-архитектор,Газпром нефть,,Нет опыта,"['UML', 'Английский язык', 'ARIS', 'Управление проектами', 'EPC']"
Руководитель практики ABBYY,Газпром нефть,,От 3 до 6 лет,"['Управление проектами', 'Atlassian Jira', 'Английский язык', 'Scrum', 'Agile Project Management']"
Инженер данных,Газпром нефть,,От 1 года до 3 лет,"['SQL', 'Oracle Pl/SQL', 'ORACLE', 'Базы данных', 'Управление временем']"
"Backend разработчик (.Net, C#)",Газпром нефть,,От 1 года до 3 лет,"['MS SQL', 'C#', 'SQL', 'ASP.NET', 'ООП']"
Руководитель разработки RPA,Газпром нефть,,От 1 года до 3 лет,"['Управление проектами', 'Atlassian Jira', 'Английский язык', 'Scrum', 'Agile Project Management', 'rpa', 'uipath']"
Ведущий разработчик Qlik,Газпром нефть,,От 1 года до 3 лет,"['SQL', 'Atlassian Jira', 'Agile Project Management', 'Scrum', 'Git', 'SAP BI', 'qlik']"
Руководитель направления по архитектуре услуг и работ,Газпром нефть,,От 1 года до 3 лет,"['Английский язык', 'Грамотная речь', 'Ориентация на результат', 'Стратегическое мышление', 'Управление временем']"
BI разработчик,Газпром нефть,,От 1 года до 3 лет,"['SQL', 'Oracle Pl/SQL', 'ORACLE', 'Базы данных', 'Управление временем']"
Frontend developer (Angular) [id 83881],Газпром нефть,,От 3 до 6 лет,"['Git', 'HTML5', 'CSS3', 'MVC', 'ООП', 'AngularJS', 'Angular', 'TypeScript', 'REST', 'API', 'MVVM', 'SCSS', 'JS', 'JavaScript']"
Дата-партнер,Газпром нефть,,Нет опыта,"['Английский язык', 'Организаторские навыки', 'Управление проектами', 'Ориентация на результат', 'Обучение и развитие']"
ИТ-архитектор,Газпром нефть,,Нет опыта,"['UML', 'Английский язык', 'ARIS', 'Управление проектами', 'EPC']"
Руководитель разработки ABBYY,Газпром нефть,,Нет опыта,"['Управление проектами', 'Atlassian Jira', 'Английский язык', 'Scrum', 'Agile Project Management']"
RPA-разработчик,Газпром нефть,,От 1 года до 3 лет,"['UML', 'Английский язык', 'ARIS', 'Управление проектами', 'EPC']"
Разработчик геоинформационных систем [id111016],Газпром нефть,,Нет опыта,"['PostgreSQL', 'Python', 'C#', 'ASP.NET', 'Английский язык']"
Архитектор HSE,Газпром нефть,,От 1 года до 3 лет,"['ARIS', 'ArchiMate', 'MEGA', 'HSE', 'Промышленная безопасность']"
Архитектор HR,Газпром нефть,,От 1 года до 3 лет,"['SAP HR', '1C ЗУП', 'SAP HCM', 'SAP Success Factors', 'WebTutor', 'Mirapolis', 'ARIS', 'ArchiMate', 'MEGA', 'СУБД']"
SQL разработчик [id111305 ],Газпром нефть,,От 1 года до 3 лет,"['SQL', 'MS SQL', 'ORACLE', 'MS SQL Server', 'PostgreSQL', 'API']"
UX/UI дизайнер (Private Banking),Сбербанк,,От 3 до 6 лет,"['Figma', 'Linux', 'Adobe Photoshop', 'Adobe Illustrator', 'UX', 'UI']"
Дизайнер интерфейсов,Ramotion,,От 3 до 6 лет,"['Дизайн интерфейсов', 'Web-дизайн']"
QA инженер (PFM),Сбербанк,,От 3 до 6 лет,"['Linux', 'SQL', 'Java', 'HTML', 'CSS', 'iOS', 'Android', 'мобильное тестирование']"
Системный администратор (Greenplum),Сбербанк,,От 1 года до 3 лет,"['Jenkins', 'Bash', 'Atlassian Jira', 'Docker', 'Kibana', 'Big Data', 'SQL', 'ETL', 'ELK', 'Python']"
Программист 1C,Бизнес Полис,100000.0,От 1 года до 3 лет,"['1С программирование', 'Поддержка конфигураций на платформе 8.2., 8.3 (КА, БП, ЗУП)', '1С: Бухгалтерия', 'Создание конфигурации 1С', '1C: Финансы', '1С: БИТ. Финанс']"
Systems Analyst,Karuna,,От 1 года до 3 лет,"['Atlassian Jira', 'Atlassian Confluence', 'Работа в команде', 'Английский язык', 'Проведение презентаций']"
