Name,Employer,From,Experience,Keys
Специалист по контекстной рекламе / Директолог,Альтера Эдьюкейшн,50000.0,От 1 года до 3 лет,"['Контекстная реклама', 'Яндекс.Директ', 'Google AdWords', 'Яндекс.Метрика', 'Интернет-реклама']"
Сетевой программист C++,Геоскан,,От 1 года до 3 лет,[]
Senior/Lead PHP Engineer,Lumio Technologies Ltd,324801.0,Более 6 лет,"['Git', 'Работа в команде', 'Symfony', 'PHPUnit', 'Behat', 'Docker', 'PHP', 'CI/CD', 'ООП', 'SQL', 'MongoDB']"
Бизнес-аналитик / Продуктовый аналитик по управлению товарными запасами,ГАРВИН (ГК ГаражТулс),,От 3 до 6 лет,"['Управление товарными запасами', 'Ориентация на результат', 'Логистика поставок', 'Управление цепочкой поставок', 'MS Excel', 'Product Management']"
Front-end Developer,КЛЭЙ ГЛОБАЛ,130000.0,От 3 до 6 лет,"['Английский язык', 'Работа в команде', 'React']"
Frontend разработчик (Middle+),Раймс Мьюзик,174000.0,От 1 года до 3 лет,"['JavaScript', 'Git', 'HTML5', 'Figma', 'CSS3']"
Web-программист,Компания Л1,,От 1 года до 3 лет,"['ASP.NET', 'C#', 'Visual Studio C#', 'CSS', 'С#', 'MS SQL', 'HTML', 'Web', 'Java Script', 'JavaScript', 'MySQL', 'MS Visual Studio', 'SQL']"
Ведущий программист,Компания Л1,,От 3 до 6 лет,"['C#', 'ASP.NET', '.NET Framework', 'MS Visual Studio', 'JavaScript']"
Team-lead по разработке,Serenity,70000.0,От 1 года до 3 лет,"['PHP', 'Удаленная работа', 'Управление проектами', 'Высокий уровень самоорганизации', 'Git']"
Ведущий разработчик 1С,Раймс Мьюзик,150000.0,От 3 до 6 лет,"['Atlassian Jira', 'ERP', '1С-Битрикс', '1С: Комплексная автоматизация', 'ERP-системы на базе 1С']"
PHP-разработчик,Раймс Мьюзик,120000.0,От 3 до 6 лет,"['Git', 'PHP', 'Английский язык', 'GraphQL', 'MongoDB']"
Оператор call-центра,"NEWLINK, провайдер интернета",30000.0,Нет опыта,"['Проведение опросов клиентов', 'входящие звонки', 'Консультирование клиентов по телефону', 'исходящие звонки', 'оператор контактного центра', 'консультант', 'менеджер по работе с клиентами', 'менеджер по продажам']"
Оператор,Пункт отбора на военную службу по контракту по Санкт-Петербургу,21750.0,Нет опыта,[]
QA Engineer (Middle/Senior),Siren Group,,От 3 до 6 лет,"['SQL', 'HTML', 'Английский язык', 'CSS', 'Bug Reporting', 'QA', 'API', 'REST', 'automation testing']"
Разработчик С/С++,AISA,100000.0,От 1 года до 3 лет,"['C++', 'C/C++', 'Linux', 'STL']"
Senior/Middle PHP Backend developer,7waysconsult,150000.0,От 1 года до 3 лет,"['ООП', 'MySQL', 'PHP', 'MVC', 'Паттерны проектирования']"
Middle PHP Developer,Siren Group,,От 3 до 6 лет,"['ООП', 'Git', 'MySQL', 'PHP', 'Linux', 'Symfony', 'Laravel', 'Atlassian Jira', 'Удаленная работа', 'SOLID']"
